z_q0,z_q1,z_q2,z_q3,z_q4,z_q5,z_q6,z_q7,z_q8,z_q9,z_q10,z_q11,z_q12,z_q13,z_q14,z_q15,z_q16,z_q17,z_q18,z_q19,z_q20
4.796366515138484644e-03,-1.104520243990032066e-03,-3.172398455648595128e-03,4.238683376352723759e-05,8.116167256051173623e-04,-4.647293344706036541e-04,3.150573404354585667e-03,-1.922088661039193618e-03,1.753392762219142288e-03,3.311431843636154088e-03,-4.292664511229039859e-04,2.340278620183445721e-03,1.471740761816904726e-03,6.417583700266367604e-03,-7.293476632079977026e-03,-4.652326930280017113e-03,4.629939862413044206e-04,2.179622623588368859e-03,-2.070116590983911865e-03,-1.912631350464006914e-03,8.963068876491719732e-04
-3.030198473067300183e-03,-4.237012257756699735e-03,2.178115060481498715e-03,-1.277625609146447157e-04,-4.963271864794758376e-03,3.775576893773262971e-03,1.624623318361327270e-04,9.213755505486267983e-03,1.761466853188209045e-03,7.555924892620254508e-04,2.465371545661780572e-03,-5.358135149947287207e-04,-7.924732555404653128e-03,-2.765582706751516621e-03,2.548145894915912132e-03,6.770830947690906687e-04,-2.142430846056603971e-03,-2.336821999964075296e-03,3.039765883407224804e-03,5.132190918699542671e-03,3.719514200111994837e-03
-7.161799211318777524e-04,1.289890937044924427e-04,-1.625302352487247200e-03,2.799576686597565279e-04,4.578504348272481985e-04,7.674010209841649471e-04,2.186660853456892390e-03,2.645720080080552709e-03,-7.187308295418903641e-04,-1.632179428569608282e-03,-1.943736256511917337e-03,1.388901786703176239e-03,-7.833783609023899433e-04,1.114250665345729039e-03,1.536586422167504455e-03,2.165128043367972079e-03,4.515891346962291756e-05,-3.690721734195533035e-03,3.453463555712013664e-03,-4.050445173589615729e-04,-1.445531112805184147e-03
4.812573658665819480e-04,7.490682491895833336e-04,-8.919313096132121255e-04,6.749282953154083983e-06,7.301037289546062712e-04,1.216542041932298923e-03,-6.146469306330228435e-04,2.956763964501504111e-03,-1.854989748731413488e-03,1.037088583317896185e-03,9.599180844340124419e-04,-3.721900660889011260e-03,1.811578873023398685e-03,1.067195670387819425e-03,-5.925726204450128352e-04,3.867319485680785658e-03,1.577191123956073193e-03,2.313381047400076690e-03,1.407000947039865413e-03,-3.212421600640677846e-03,7.238845895057722645e-04
4.866001690495990253e-03,-1.001258371304659944e-02,3.352594228111295451e-03,-1.473495784558720954e-03,-4.338596641146924733e-03,3.512331694134415358e-03,3.267282322681625169e-03,1.110289000561466392e-02,-5.441598385701681279e-03,6.162858536153739686e-03,-1.318074905714938620e-02,-1.186767229737088411e-02,-6.338138131661719826e-03,-4.439064516662268901e-03,-8.086294791005168431e-03,2.718483332211519068e-02,6.937717650097173505e-03,-7.186750541950935947e-03,4.202207096692096508e-03,1.552373357982288551e-02,-2.713796102997459176e-03
3.572659215662764287e-03,-1.584227431910755109e-03,-5.471108537685225037e-03,2.905071739248673950e-03,3.534951373158734967e-03,-6.119208137715459808e-03,2.103703749708790444e-03,3.338767013961980307e-03,6.014904875198312864e-03,-7.217039761044225649e-03,-1.919445231826175102e-03,-5.181806552225305153e-03,-7.711485608529617883e-03,-3.149365785592725744e-04,7.850030978005361620e-04,3.863612748738851077e-03,1.376360424396572222e-03,-8.638813356809845953e-03,-9.302137449249169368e-03,2.765129645740425392e-03,-1.227768291791610364e-03
-4.731412385958365038e-04,-3.205135347828899813e-03,-1.932463927836809920e-03,-2.003510876364160073e-03,-6.542478571253840681e-04,-8.513769639987510927e-04,-1.357177413872630821e-03,-4.615581931219064210e-04,4.002831503894343015e-03,-2.599757234083702791e-04,-1.096458122599400925e-03,5.238583845489312024e-04,-1.290596377638796293e-03,1.742870906163066337e-03,1.011554503228102430e-03,-2.156262438566500326e-03,3.976509429549638514e-03,1.283926599695826864e-05,-1.077256504295464939e-03,-5.113060355595609383e-04,-1.779065530500405245e-04
2.729130187718373582e-03,-3.308895058049353584e-03,-4.406077345702451471e-03,-3.689270983950524926e-03,-3.731098145283138351e-03,-2.906551189710913051e-03,-1.136453762330928794e-03,4.781234882670832350e-04,-2.001874130619075293e-03,1.475193704859440857e-03,2.163529905029487957e-03,-7.440421021935133411e-03,-1.178314931964510523e-03,-2.304139234957681536e-03,-6.070002373816528636e-03,-1.590077728852293693e-03,2.137358266535380798e-03,-6.802682610094640606e-03,-3.320864409804151311e-03,-8.719839666519419797e-04,-4.730023249321308257e-03
2.173481309137244560e-03,-3.770929413662764754e-04,-4.007222537637519094e-03,3.450919881510421724e-04,2.645874248801636510e-04,-2.185103954879130932e-03,-1.548291446233612378e-03,-1.316450749871345312e-02,-7.518702297620064815e-04,-1.671680443058068356e-04,2.376571332895234881e-03,-3.660303862959675240e-03,6.420936314010684126e-04,7.004358668084853523e-04,-1.384235830851664965e-03,-2.736138255977058065e-03,1.182492147601426572e-03,-1.811011114549593943e-03,-3.121748258572952690e-03,2.068023864218699638e-03,-1.558844000087579668e-03
5.017904055532103336e-03,1.453730778002023348e-03,1.467297588398782607e-03,2.826841192239156961e-03,-3.261579046580444056e-03,-3.620466032402433303e-04,-7.146375384505456070e-03,5.002944708561503362e-03,5.351257793362875284e-03,-5.977605605907915839e-04,-2.425245888298536642e-03,-6.818805203700362833e-04,2.401673612374817524e-03,7.478401358812026938e-03,-2.338321567207054304e-03,1.216821673535891431e-03,-1.170111366905130564e-03,5.000008527185149931e-03,-1.214070432120799899e-03,-4.514363014091469714e-03,-2.949954397785347921e-03
